Nome,Email,Telefono,Descrizione,Sito Web,Data Scraping,Indirizzo,Settore
Farmacia Da Mario,info@farmaciadamario.it,+39 037 576154,Specialisti nel settore trasporti con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Bolzano e oltre.,,2025-04-09 15:56:01,"Via Alfieri, 99 - 97097 Bolzano",Trasporti
B&B Il Palazzo,b&bilpalazzo@libero.it,+39 397 3402864,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore commercio al dettaglio. Fondata nel 2006, siamo cresciuti fino a diventare un punto di riferimento a Forlì.",,2025-04-09 15:56:01,"Corso Francia, 110 - 86098 Forlì",Commercio al dettaglio
Costruzioni La Fontana,info@costruzionilafontana.it,+39 393 8287132,La nostra missione è fornire il miglior servizio possibile nel settore ristorazione. Siamo un'azienda a conduzione familiare con oltre 39 anni di esperienza.,https://www.costruzionilafontana.it,2025-04-09 15:56:01,"Via Roma, 180 - 12036 Bologna",Ristorazione
Concessionaria Il Pino,info@concessionariailpino.it,+39 064 207729,Specialisti nel settore artigianato con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Verona e oltre.,https://www.concessionariailpino.it,2025-04-09 15:56:01,"Via Caravaggio, 22 - 93025 Verona",Artigianato
Boutique Da Luca,info@boutiquedaluca.it,+39 379 2325305,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore manifatturiero. Fondata nel 2020, siamo cresciuti fino a diventare un punto di riferimento a Modena.",,2025-04-09 15:56:01,"Via Volta, 100 - 67056 Modena",Manifatturiero
Ferramenta Il Gabbiano,info@ferramentailgabbiano.it,+39 096 287071,Dal 2007 offriamo servizi di qualità nel settore moda. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.ferramentailgabbiano.it,2025-04-09 15:56:01,"Corso Europa, 73 - 11052 Giugliano in Campania",Moda
Vetreria Elite,info@vetreriaelite.it,+39 387 9492797,Specialisti nel settore assicurativo con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Salerno e oltre.,,2025-04-09 15:56:01,"Via Carducci, 74 - 87072 Salerno",Assicurativo
Gioielleria Royal,gioielleriaroyal@virgilio.it,+39 078 654814,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore agricoltura. Fondata nel 1984, siamo cresciuti fino a diventare un punto di riferimento a Reggio Calabria.",https://www.gioielleriaroyal.it,2025-04-09 15:56:01,"Piazza Maggiore, 123 - 88055 Reggio Calabria",Agricoltura
Osteria Il Pozzo,info@osteriailpozzo.it,+39 395 7659695,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore ristorazione. Fondata nel 1978, siamo cresciuti fino a diventare un punto di riferimento a Arezzo.",https://www.osteriailpozzo.it,2025-04-09 15:56:01,"Via Marconi, 152 - 86015 Arezzo",Ristorazione
Caffè Da Antonio,caffèdaantonio@libero.it,+39 042 689772,Azienda leader nel settore salute con sede a Reggio Calabria. Offriamo prodotti e servizi di alta qualità dal 1950.,https://www.caffèdaantonio.it,2025-04-09 15:56:01,"Via Milano, 49 - 76077 Reggio Calabria",Salute
Boutique La Locanda,info@boutiquelalocanda.it,+39 018 605361,La nostra missione è fornire il miglior servizio possibile nel settore tecnologia. Siamo un'azienda a conduzione familiare con oltre 31 anni di esperienza.,https://www.boutiquelalocanda.it,2025-04-09 15:56:01,"Viale dei Pini, 27 - 73043 Salerno",Tecnologia
Immobiliare Il Pozzo,info@immobiliareilpozzo.it,+39 049 384384,La nostra missione è fornire il miglior servizio possibile nel settore moda. Siamo un'azienda a conduzione familiare con oltre 36 anni di esperienza.,https://www.immobiliareilpozzo.it,2025-04-09 15:56:01,"Via Tiziano, 187 - 93072 Latina",Moda
Autofficina La Stella,info@autofficinalastella.it,+39 038 504430,Specialisti nel settore alimentare con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Venezia e oltre.,https://www.autofficinalastella.it,2025-04-09 15:56:01,"Viale dei Giardini, 142 - 82074 Venezia",Alimentare
Palestra L'Ulivo,info@palestralulivo.it,+39 366 1225741,Azienda leader nel settore moda con sede a Foggia. Offriamo prodotti e servizi di alta qualità dal 1950.,https://www.palestralulivo.it,2025-04-09 15:56:01,"Via Raffaello, 145 - 86096 Foggia",Moda
Consulenza Da Carlo,info@consulenzadacarlo.it,+39 385 8550754,Dal 1981 offriamo servizi di qualità nel settore finanziario. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.consulenzadacarlo.it,2025-04-09 15:56:01,"Via Giotto, 86 - 97040 Venezia",Finanziario
Pensione Da Roberto,info@pensionedaroberto.it,+39 073 772043,La nostra missione è fornire il miglior servizio possibile nel settore edilizia. Siamo un'azienda a conduzione familiare con oltre 33 anni di esperienza.,,2025-04-09 15:56:01,"Via Torino, 185 - 38057 Palermo",Edilizia
Benessere La Fontana,info@benesserelafontana.it,+39 024 410270,Dal 1978 offriamo servizi di qualità nel settore tecnologia. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Botticelli, 160 - 64014 Rimini",Tecnologia
Autofficina La Cascata,info@autofficinalacascata.it,+39 068 768437,Azienda leader nel settore automotive con sede a Bologna. Offriamo prodotti e servizi di alta qualità dal 2002.,,2025-04-09 15:56:01,"Via Milano, 40 - 15093 Bologna",Automotive
Studio Il Rifugio,info@studioilrifugio.it,+39 381 4888446,Azienda leader nel settore manifatturiero con sede a Genova. Offriamo prodotti e servizi di alta qualità dal 1975.,https://www.studioilrifugio.it,2025-04-09 15:56:01,"Via Canova, 118 - 39067 Genova",Manifatturiero
B&B Metropolitan,info@b&bmetropolitan.it,+39 023 134536,Dal 1955 offriamo servizi di qualità nel settore commercio all'ingrosso. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Marconi, 84 - 84028 Bolzano",Commercio all'ingrosso
Impresa Il Pozzo,info@impresailpozzo.it,+39 377 5536812,Azienda leader nel settore agricoltura con sede a Taranto. Offriamo prodotti e servizi di alta qualità dal 1993.,,2025-04-09 15:56:01,"Via Dante, 157 - 61067 Taranto",Agricoltura
Fabbro Da Giovanni,fabbrodagiovanni@alice.it,+39 337 2409260,La nostra missione è fornire il miglior servizio possibile nel settore benessere. Siamo un'azienda a conduzione familiare con oltre 22 anni di esperienza.,,2025-04-09 15:56:01,"Via Canova, 82 - 84054 Ancona",Benessere
Elettrica Da Carlo,elettricadacarlo@outlook.it,+39 323 9648058,Specialisti nel settore salute con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Napoli e oltre.,https://www.elettricadacarlo.it,2025-04-09 15:56:01,"Viale degli Ulivi, 81 - 76015 Napoli",Salute
Edile Buongusto,info@edilebuongusto.it,+39 027 838445,Specialisti nel settore finanziario con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Palermo e oltre.,,2025-04-09 15:56:01,"Via Petrarca, 120 - 19052 Palermo",Finanziario
Gelateria L'Ulivo,info@gelaterialulivo.it,+39 391 6001116,Azienda leader nel settore assicurativo con sede a Rimini. Offriamo prodotti e servizi di alta qualità dal 2012.,https://www.gelaterialulivo.it,2025-04-09 15:56:01,"Via Pascoli, 158 - 54041 Rimini",Assicurativo
Macelleria Da Roberto,info@macelleriadaroberto.it,+39 354 9199245,Specialisti nel settore tecnologia con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Prato e oltre.,,2025-04-09 15:56:01,"Via Firenze, 5 - 44070 Prato",Tecnologia
Agenzia Royal,agenziaroyal@alice.it,+39 384 9400317,Specialisti nel settore artigianato con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Terni e oltre.,https://www.agenziaroyal.it,2025-04-09 15:56:01,"Via Cavour, 115 - 44048 Terni",Artigianato
Piscina Elite,piscinaelite@outlook.it,+39 078 420128,Dal 1951 offriamo servizi di qualità nel settore tecnologia. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.piscinaelite.it,2025-04-09 15:56:01,"Via Alfieri, 108 - 33047 Torino",Tecnologia
Farmacia La Taverna,farmacialataverna@tiscali.it,+39 022 705429,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore tecnologia. Fondata nel 1992, siamo cresciuti fino a diventare un punto di riferimento a Prato.",https://www.farmacialataverna.it,2025-04-09 15:56:01,"Viale delle Palme, 187 - 23032 Prato",Tecnologia
Ceramiche Il Pozzo,ceramicheilpozzo@hotmail.com,+39 083 269164,Specialisti nel settore benessere con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Andria e oltre.,https://www.ceramicheilpozzo.it,2025-04-09 15:56:01,"Corso Francia, 145 - 55053 Andria",Benessere
Cartoleria Royal,info@cartoleriaroyal.it,+39 316 2848721,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore servizi professionali. Fondata nel 2015, siamo cresciuti fino a diventare un punto di riferimento a Reggio Calabria.",https://www.cartoleriaroyal.it,2025-04-09 15:56:01,"Via Pascoli, 58 - 70099 Reggio Calabria",Servizi professionali
Marmi Il Palazzo,info@marmiilpalazzo.it,+39 059 506631,Azienda leader nel settore commercio all'ingrosso con sede a Prato. Offriamo prodotti e servizi di alta qualità dal 2016.,https://www.marmiilpalazzo.it,2025-04-09 15:56:01,"Via Bernini, 153 - 72062 Prato",Commercio all'ingrosso
Pasticceria L'Ulivo,info@pasticcerialulivo.it,+39 324 6897567,La nostra missione è fornire il miglior servizio possibile nel settore immobiliare. Siamo un'azienda a conduzione familiare con oltre 20 anni di esperienza.,,2025-04-09 15:56:01,"Via Leopardi, 185 - 69080 Arezzo",Immobiliare
Ceramiche Da Antonio,info@ceramichedaantonio.it,+39 371 9172103,Specialisti nel settore assicurativo con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Pescara e oltre.,https://www.ceramichedaantonio.it,2025-04-09 15:56:01,"Via Fermi, 65 - 71023 Pescara",Assicurativo
Trattoria Il Veliero,trattoriailveliero@fastwebnet.it,+39 335 4372828,La nostra missione è fornire il miglior servizio possibile nel settore alimentare. Siamo un'azienda a conduzione familiare con oltre 20 anni di esperienza.,https://www.trattoriailveliero.it,2025-04-09 15:56:01,"Via Verona, 100 - 23010 Pescara",Alimentare
Panificio Elite,info@panificioelite.it,+39 390 1723578,Azienda leader nel settore tecnologia con sede a Arezzo. Offriamo prodotti e servizi di alta qualità dal 1994.,https://www.panificioelite.it,2025-04-09 15:56:01,"Via Genova, 162 - 93081 Arezzo",Tecnologia
Gommista Il Castello,gommistailcastello@fastwebnet.it,+39 384 8964444,La nostra missione è fornire il miglior servizio possibile nel settore assicurativo. Siamo un'azienda a conduzione familiare con oltre 50 anni di esperienza.,https://www.gommistailcastello.it,2025-04-09 15:56:01,"Via Cavour, 182 - 40044 Padova",Assicurativo
Elettrica Il Palazzo,info@elettricailpalazzo.it,+39 046 493446,Specialisti nel settore logistica con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Terni e oltre.,,2025-04-09 15:56:01,"Via Botticelli, 121 - 55087 Terni",Logistica
Estetica Da Riccardo,esteticadariccardo@gmail.com,+39 320 9107369,Dal 1975 offriamo servizi di qualità nel settore ristorazione. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.esteticadariccardo.it,2025-04-09 15:56:01,"Via Leonardo da Vinci, 9 - 86089 Trieste",Ristorazione
Autofficina Il Faro,info@autofficinailfaro.it,+39 320 2947631,Dal 1971 offriamo servizi di qualità nel settore alberghiero. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Viale delle Palme, 157 - 97060 Venezia",Alberghiero
Palestra Imperial,palestraimperial@tin.it,+39 050 593313,Dal 1996 offriamo servizi di qualità nel settore manifatturiero. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Torino, 23 - 90038 Bolzano",Manifatturiero
Trattoria Il Giglio,info@trattoriailgiglio.it,+39 331 3894391,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore benessere. Fondata nel 1965, siamo cresciuti fino a diventare un punto di riferimento a Lecce.",https://www.trattoriailgiglio.it,2025-04-09 15:56:01,"Piazza San Marco, 65 - 85097 Lecce",Benessere
Assicurazioni Da Luca,info@assicurazionidaluca.it,+39 322 9929120,La nostra missione è fornire il miglior servizio possibile nel settore benessere. Siamo un'azienda a conduzione familiare con oltre 10 anni di esperienza.,,2025-04-09 15:56:01,"Via Dante, 34 - 20060 Novara",Benessere
Panificio Da Luca,info@panificiodaluca.it,+39 319 3911020,La nostra missione è fornire il miglior servizio possibile nel settore benessere. Siamo un'azienda a conduzione familiare con oltre 16 anni di esperienza.,https://www.panificiodaluca.it,2025-04-09 15:56:01,"Via Garibaldi, 182 - 61066 Latina",Benessere
Costruzioni La Piazza,info@costruzionilapiazza.it,+39 350 9814014,Dal 1999 offriamo servizi di qualità nel settore servizi professionali. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.costruzionilapiazza.it,2025-04-09 15:56:01,"Via Leonardo da Vinci, 143 - 13012 Torino",Servizi professionali
Ceramiche L'Angolo,info@ceramichelangolo.it,+39 378 3135095,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore trasporti. Fondata nel 1983, siamo cresciuti fino a diventare un punto di riferimento a Messina.",https://www.ceramichelangolo.it,2025-04-09 15:56:01,"Via Tiziano, 78 - 38037 Messina",Trasporti
Farmacia Elite,info@farmaciaelite.it,+39 096 969269,Specialisti nel settore artigianato con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Terni e oltre.,https://www.farmaciaelite.it,2025-04-09 15:56:01,"Corso America, 80 - 26044 Terni",Artigianato
Ferramenta La Taverna,info@ferramentalataverna.it,+39 031 572396,Azienda leader nel settore commercio al dettaglio con sede a Ferrara. Offriamo prodotti e servizi di alta qualità dal 1958.,https://www.ferramentalataverna.it,2025-04-09 15:56:01,"Via Leopardi, 111 - 68084 Ferrara",Commercio al dettaglio
Piscina International,info@piscinainternational.it,+39 308 8460598,Azienda leader nel settore ristorazione con sede a Parma. Offriamo prodotti e servizi di alta qualità dal 2012.,https://www.piscinainternational.it,2025-04-09 15:56:01,"Piazza del Popolo, 20 - 94049 Parma",Ristorazione
Albergo Da Luca,info@albergodaluca.it,+39 356 3837465,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore immobiliare. Fondata nel 1989, siamo cresciuti fino a diventare un punto di riferimento a Livorno.",,2025-04-09 15:56:01,"Via Milano, 131 - 79034 Livorno",Immobiliare
Locanda Royal,locandaroyal@gmail.com,+39 020 664526,La nostra missione è fornire il miglior servizio possibile nel settore tecnologia. Siamo un'azienda a conduzione familiare con oltre 6 anni di esperienza.,https://www.locandaroyal.it,2025-04-09 15:56:01,"Piazza Maggiore, 178 - 36055 Pesaro",Tecnologia
Autofficina Royal,info@autofficinaroyal.it,+39 082 514491,Dal 2001 offriamo servizi di qualità nel settore automotive. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.autofficinaroyal.it,2025-04-09 15:56:01,"Via Marconi, 132 - 58066 Cagliari",Automotive
Vetreria Il Veliero,info@vetreriailveliero.it,+39 384 4017594,Azienda leader nel settore ristorazione con sede a Udine. Offriamo prodotti e servizi di alta qualità dal 1968.,https://www.vetreriailveliero.it,2025-04-09 15:56:01,"Piazza Duomo, 101 - 26032 Udine",Ristorazione
Studio International,studiointernational@alice.it,+39 091 920799,Specialisti nel settore commercio all'ingrosso con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Messina e oltre.,https://www.studiointernational.it,2025-04-09 15:56:01,"Via Verona, 13 - 89081 Messina",Commercio all'ingrosso
Falegnameria Da Mario,info@falegnameriadamario.it,+39 334 7832354,Specialisti nel settore commercio al dettaglio con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Latina e oltre.,,2025-04-09 15:56:01,"Via Tiziano, 14 - 32093 Latina",Commercio al dettaglio
B&B La Locanda,info@b&blalocanda.it,+39 313 4820654,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore manifatturiero. Fondata nel 1992, siamo cresciuti fino a diventare un punto di riferimento a Firenze.",,2025-04-09 15:56:01,"Via Roma, 103 - 45019 Firenze",Manifatturiero
Calzature Il Pozzo,info@calzatureilpozzo.it,+39 367 6435145,Dal 1982 offriamo servizi di qualità nel settore artigianato. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Napoli, 193 - 74071 Milano",Artigianato
Piscina Da Giuseppe,info@piscinadagiuseppe.it,+39 059 295328,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore trasporti. Fondata nel 2003, siamo cresciuti fino a diventare un punto di riferimento a Ravenna.",,2025-04-09 15:56:01,"Via Marconi, 104 - 70067 Ravenna",Trasporti
Fabbro La Cascata,info@fabbrolacascata.it,+39 057 341486,Dal 2011 offriamo servizi di qualità nel settore manifatturiero. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Viale delle Palme, 118 - 33072 Siracusa",Manifatturiero
Ferramenta Il Borgo,info@ferramentailborgo.it,+39 013 223507,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore benessere. Fondata nel 2016, siamo cresciuti fino a diventare un punto di riferimento a Salerno.",,2025-04-09 15:56:01,"Piazza della Repubblica, 107 - 14010 Salerno",Benessere
Macelleria Buongusto,info@macelleriabuongusto.it,+39 099 731467,La nostra missione è fornire il miglior servizio possibile nel settore logistica. Siamo un'azienda a conduzione familiare con oltre 11 anni di esperienza.,,2025-04-09 15:56:01,"Via Volta, 44 - 35069 Latina",Logistica
Osteria Il Giglio,info@osteriailgiglio.it,+39 396 1925321,Dal 1971 offriamo servizi di qualità nel settore tecnologia. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.osteriailgiglio.it,2025-04-09 15:56:01,"Via Einstein, 71 - 51033 Latina",Tecnologia
Costruzioni La Taverna,info@costruzionilataverna.it,+39 084 346357,Azienda leader nel settore commercio all'ingrosso con sede a Andria. Offriamo prodotti e servizi di alta qualità dal 1980.,,2025-04-09 15:56:01,"Via Einstein, 45 - 22033 Andria",Commercio all'ingrosso
Spa La Taverna,spalataverna@alice.it,+39 087 644485,Dal 2008 offriamo servizi di qualità nel settore artigianato. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.spalataverna.it,2025-04-09 15:56:01,"Viale degli Ulivi, 79 - 19061 Bologna",Artigianato
Pizzeria Da Giovanni,pizzeriadagiovanni@tin.it,+39 089 177514,Specialisti nel settore servizi professionali con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Ancona e oltre.,https://www.pizzeriadagiovanni.it,2025-04-09 15:56:01,"Via Dante, 75 - 83012 Ancona",Servizi professionali
Pasticceria Royal,info@pasticceriaroyal.it,+39 355 3884363,Dal 1999 offriamo servizi di qualità nel settore servizi professionali. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.pasticceriaroyal.it,2025-04-09 15:56:01,"Via Venezia, 131 - 50070 Rimini",Servizi professionali
Pensione Da Giuseppe,pensionedagiuseppe@virgilio.it,+39 054 896385,Specialisti nel settore trasporti con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Andria e oltre.,,2025-04-09 15:56:01,"Via Torino, 17 - 95082 Andria",Trasporti
Pensione Da Marco,info@pensionedamarco.it,+39 342 5437141,Specialisti nel settore assicurativo con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Napoli e oltre.,,2025-04-09 15:56:01,"Viale delle Rose, 22 - 36022 Napoli",Assicurativo
Consulenza La Bottega,info@consulenzalabottega.it,+39 061 442318,Specialisti nel settore alberghiero con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Foggia e oltre.,https://www.consulenzalabottega.it,2025-04-09 15:56:01,"Corso Italia, 97 - 26043 Foggia",Alberghiero
Negozio Il Cantuccio,info@negozioilcantuccio.it,+39 303 2827608,Azienda leader nel settore finanziario con sede a Catania. Offriamo prodotti e servizi di alta qualità dal 1955.,https://www.negozioilcantuccio.it,2025-04-09 15:56:01,"Corso Inghilterra, 147 - 42035 Catania",Finanziario
Falegnameria International,info@falegnameriainternational.it,+39 083 300192,Dal 1950 offriamo servizi di qualità nel settore automotive. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.falegnameriainternational.it,2025-04-09 15:56:01,"Via Leopardi, 139 - 85043 Ravenna",Automotive
Calzature La Stella,calzaturelastella@virgilio.it,+39 392 3851897,La nostra missione è fornire il miglior servizio possibile nel settore servizi professionali. Siamo un'azienda a conduzione familiare con oltre 7 anni di esperienza.,,2025-04-09 15:56:01,"Via Napoli, 156 - 46087 Palermo",Servizi professionali
Agriturismo La Stella,info@agriturismolastella.it,+39 344 7456922,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore trasporti. Fondata nel 1967, siamo cresciuti fino a diventare un punto di riferimento a Udine.",,2025-04-09 15:56:01,"Via Garibaldi, 87 - 13086 Udine",Trasporti
Salumeria La Bottega,info@salumerialabottega.it,+39 043 794431,Dal 2006 offriamo servizi di qualità nel settore commercio al dettaglio. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.salumerialabottega.it,2025-04-09 15:56:01,"Via Raffaello, 44 - 96061 Modena",Commercio al dettaglio
Centro Belvedere,centrobelvedere@fastwebnet.it,+39 064 962875,Azienda leader nel settore assicurativo con sede a Forlì. Offriamo prodotti e servizi di alta qualità dal 1964.,https://www.centrobelvedere.it,2025-04-09 15:56:01,"Via Verona, 128 - 35093 Forlì",Assicurativo
Panificio Metropolitan,info@panificiometropolitan.it,+39 060 148974,La nostra missione è fornire il miglior servizio possibile nel settore trasporti. Siamo un'azienda a conduzione familiare con oltre 29 anni di esperienza.,https://www.panificiometropolitan.it,2025-04-09 15:56:01,"Via Cavour, 37 - 83019 Rimini",Trasporti
Negozio Il Faro,info@negozioilfaro.it,+39 052 239924,La nostra missione è fornire il miglior servizio possibile nel settore moda. Siamo un'azienda a conduzione familiare con oltre 9 anni di esperienza.,,2025-04-09 15:56:01,"Via Galilei, 130 - 80090 Modena",Moda
Gommista La Taverna,info@gommistalataverna.it,+39 331 5859953,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore trasporti. Fondata nel 1964, siamo cresciuti fino a diventare un punto di riferimento a Rimini.",,2025-04-09 15:56:01,"Via Tiziano, 117 - 63054 Rimini",Trasporti
Ottica Da Francesco,info@otticadafrancesco.it,+39 343 5398960,Azienda leader nel settore trasporti con sede a Salerno. Offriamo prodotti e servizi di alta qualità dal 2017.,https://www.otticadafrancesco.it,2025-04-09 15:56:01,"Corso America, 120 - 71015 Salerno",Trasporti
Gelateria Metropolitan,info@gelateriametropolitan.it,+39 081 618583,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore moda. Fondata nel 1969, siamo cresciuti fino a diventare un punto di riferimento a Brescia.",,2025-04-09 15:56:01,"Viale dei Pini, 69 - 27044 Brescia",Moda
Marmi Da Francesco,info@marmidafrancesco.it,+39 375 1731243,La nostra missione è fornire il miglior servizio possibile nel settore automotive. Siamo un'azienda a conduzione familiare con oltre 46 anni di esperienza.,,2025-04-09 15:56:01,"Via Caravaggio, 56 - 61083 Firenze",Automotive
Gommista Elite,gommistaelite@yahoo.it,+39 326 6568356,La nostra missione è fornire il miglior servizio possibile nel settore assicurativo. Siamo un'azienda a conduzione familiare con oltre 32 anni di esperienza.,,2025-04-09 15:56:01,"Via Caravaggio, 4 - 50010 Perugia",Assicurativo
Edile Il Mulino,edileilmulino@yahoo.it,+39 034 374250,Azienda leader nel settore moda con sede a Piacenza. Offriamo prodotti e servizi di alta qualità dal 2018.,,2025-04-09 15:56:01,"Viale dei Pini, 63 - 21089 Piacenza",Moda
Libreria Il Mulino,libreriailmulino@alice.it,+39 357 7084832,La nostra missione è fornire il miglior servizio possibile nel settore moda. Siamo un'azienda a conduzione familiare con oltre 10 anni di esperienza.,https://www.libreriailmulino.it,2025-04-09 15:56:01,"Via Michelangelo, 71 - 95030 Bologna",Moda
Caffè La Piazza,info@caffèlapiazza.it,+39 334 6578605,Dal 1997 offriamo servizi di qualità nel settore commercio al dettaglio. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.caffèlapiazza.it,2025-04-09 15:56:01,"Via Firenze, 192 - 79055 Modena",Commercio al dettaglio
Bar Il Veliero,barilveliero@tiscali.it,+39 022 258560,Dal 2001 offriamo servizi di qualità nel settore artigianato. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.barilveliero.it,2025-04-09 15:56:01,"Via Cavour, 8 - 19011 Genova",Artigianato
Osteria Imperial,info@osteriaimperial.it,+39 346 6230554,Dal 1983 offriamo servizi di qualità nel settore logistica. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Bernini, 23 - 87042 Milano",Logistica
Cartoleria La Perla,cartolerialaperla@virgilio.it,+39 357 3077760,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore edilizia. Fondata nel 1959, siamo cresciuti fino a diventare un punto di riferimento a Sassari.",https://www.cartolerialaperla.it,2025-04-09 15:56:01,"Via Leopardi, 131 - 67037 Sassari",Edilizia
Falegnameria Elite,info@falegnameriaelite.it,+39 323 9033116,La nostra missione è fornire il miglior servizio possibile nel settore salute. Siamo un'azienda a conduzione familiare con oltre 5 anni di esperienza.,https://www.falegnameriaelite.it,2025-04-09 15:56:01,"Via Fermi, 53 - 76043 Reggio Emilia",Salute
Assicurazioni La Quercia,info@assicurazionilaquercia.it,+39 087 122139,La nostra missione è fornire il miglior servizio possibile nel settore ristorazione. Siamo un'azienda a conduzione familiare con oltre 20 anni di esperienza.,,2025-04-09 15:56:01,"Via Milano, 125 - 26088 Bari",Ristorazione
Gelateria Il Palazzo,info@gelateriailpalazzo.it,+39 303 7856300,Dal 1995 offriamo servizi di qualità nel settore alimentare. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.gelateriailpalazzo.it,2025-04-09 15:56:01,"Via Canova, 55 - 75077 Ravenna",Alimentare
Ottica Da Carlo,info@otticadacarlo.it,+39 345 5247807,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore manifatturiero. Fondata nel 2008, siamo cresciuti fino a diventare un punto di riferimento a Piacenza.",https://www.otticadacarlo.it,2025-04-09 15:56:01,"Via Michelangelo, 80 - 26052 Piacenza",Manifatturiero
Spa Il Castello,info@spailcastello.it,+39 096 706988,La nostra missione è fornire il miglior servizio possibile nel settore edilizia. Siamo un'azienda a conduzione familiare con oltre 37 anni di esperienza.,,2025-04-09 15:56:01,"Viale dei Pini, 28 - 52078 Lecce",Edilizia
Farmacia Da Riccardo,info@farmaciadariccardo.it,+39 020 317374,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore ristorazione. Fondata nel 2006, siamo cresciuti fino a diventare un punto di riferimento a Pescara.",https://www.farmaciadariccardo.it,2025-04-09 15:56:01,"Via Petrarca, 139 - 96051 Pescara",Ristorazione
Centro International,centrointernational@virgilio.it,+39 362 5395839,Azienda leader nel settore commercio all'ingrosso con sede a Verona. Offriamo prodotti e servizi di alta qualità dal 2012.,,2025-04-09 15:56:01,"Piazza del Popolo, 16 - 72027 Verona",Commercio all'ingrosso
Ristorante La Cascata,ristorantelacascata@hotmail.com,+39 097 483976,Azienda leader nel settore servizi professionali con sede a Bologna. Offriamo prodotti e servizi di alta qualità dal 1973.,https://www.ristorantelacascata.it,2025-04-09 15:56:01,"Piazza Maggiore, 55 - 14054 Bologna",Servizi professionali
Bar Da Luigi,info@bardaluigi.it,+39 064 844763,La nostra missione è fornire il miglior servizio possibile nel settore alberghiero. Siamo un'azienda a conduzione familiare con oltre 41 anni di esperienza.,,2025-04-09 15:56:01,"Via Dante, 102 - 30053 Reggio Emilia",Alberghiero
